"AORD.Open","AORD.High","AORD.Low","AORD.Close","AORD.Volume","AORD.Adjusted"
"2007-08-02",6015.3,6101.2,5952.1,6050.3,1017349800,6050.3
"2007-08-03",6063.2,6094.2,6018.3,6055.9,758596200,6055.9
"2007-08-06",6050.9,6050.9,5922,5949.5,627698700,5949.5
"2007-08-07",5971.3,6041.1,5970,6013.6,731552800,6013.6
"2007-08-08",6025.7,6126,6025.5,6124.7,926974100,6124.7
"2007-08-09",6138.2,6187.7,6135.6,6187.7,1108829500,6187.7
"2007-08-10",6136.9,6137.1,5965.2,5965.2,1232816600,5965.2
"2007-08-13",5972.5,6056.9,5972.5,6027.5,803072300,6027.5
"2007-08-14",6028,6038.9,5961.1,5982.5,839670100,5982.5
"2007-08-15",5954,5954,5801.5,5801.5,1179365800,5801.5
"2007-08-16",5797.1,5797.1,5490.8,5712.2,1792345000,5712.2
"2007-08-17",5717.1,5781.6,5637.3,5670.3,1184574500,5670.3
"2007-08-20",5675.5,5926.5,5675.5,5926.5,933195100,5926.5
"2007-08-21",5923.3,5986.2,5872.7,5978.6,767829700,5978.6
"2007-08-22",5973.6,6036.3,5956.3,5997.4,873369400,5997.4
"2007-08-23",6007.2,6164.5,6007.2,6149.7,1112252600,6149.7
"2007-08-24",6135.7,6135.7,6075.8,6087.2,8174900,6087.2
"2007-08-27",6117,6199.9,6115.3,6184.9,848175300,6184.9
"2007-08-28",6178.6,6185.9,6138.2,6177.3,890580900,6177.3
"2007-08-29",6143.7,6143.7,6032.7,6101.4,934053300,6101.4
"2007-08-30",6126.2,6189.9,6126.1,6138,861995900,6138
"2007-08-31",6138,6248.3,6138,6248.3,10815800,6248.3
"2007-09-03",6254.5,6285.3,6242.6,6272.5,589013100,6272.5
"2007-09-04",6269.4,6318.7,6268,6297.1,792988900,6297.1
"2007-09-05",6307.2,6358.6,6265.4,6274.3,822540100,6274.3
"2007-09-06",6259.9,6278.4,6206.6,6265.3,696298000,6265.3
"2007-09-07",6278.1,6297.7,6273.3,6296.5,498608900,6296.5
"2007-09-10",6258.2,6259,6168.3,6209.6,652049200,6209.6
"2007-09-11",6211.6,6269.3,6211.6,6248.6,722328100,6248.6
"2007-09-12",6269.9,6314.7,6233.2,6236,852248200,6236
"2007-09-13",6243.5,6265.9,6228.9,6244.6,728850700,6244.6
"2007-09-14",6250.8,6318.8,6250.8,6315.7,813908500,6315.7
"2007-09-17",6307,6307.8,6269.8,6283.7,676648300,6283.7
"2007-09-18",6274.5,6274.6,6185.1,6208,890698400,6208
"2007-09-19",6248.9,6362,6248.9,6362,885694600,6362
"2007-09-20",6386.6,6418.4,6366.6,6400.9,1694881600,6400.9
"2007-09-21",6393.3,6395.4,6365.9,6371.2,745104900,6371.2
"2007-09-24",6374.3,6467,6374.3,6461.1,728840100,6461.1
"2007-09-25",6464.8,6515.2,6440.7,6490.9,853508600,6490.9
"2007-09-26",6467.9,6508.1,6462.1,6491.4,820033300,6491.4
"2007-09-27",6497.3,6556.4,6495.6,6548,1030226700,6548
"2007-09-28",6555.9,6601,6555.9,6580.9,1231729200,6580.9
"2007-10-01",6581.2,6616.4,6570.5,6579.8,362775100,6579.8
"2007-10-02",6609.9,6673.6,6609.5,6667.6,924477100,6667.6
"2007-10-03",6652.5,6682.2,6644.1,6665.4,848097100,6665.4
"2007-10-04",6649,6649.7,6565.5,6579.9,795770500,6579.9
"2007-10-05",6586.9,6626.9,6584.9,6617.3,723380600,6617.3
"2007-10-08",6628.4,6695.4,6628.4,6667.2,632094500,6667.2
"2007-10-09",6651,6695.9,6635.1,6687.7,746529000,6687.7
"2007-10-10",6705.1,6749.5,6705,6744.6,790826900,6744.6
"2007-10-11",6743.3,6789.5,6722.2,6779.6,812005600,6779.6
"2007-10-12",6775.8,6778.3,6730.7,6760.1,768986700,6760.1
"2007-10-15",6771.5,6809.3,6729.2,6751.6,660248800,6751.6
"2007-10-16",6738.6,6739,6670.8,6711.3,698029100,6711.3
"2007-10-17",6712.6,6740.9,6667,6696.1,807774200,6696.1
"2007-10-18",6711.3,6781,6710.4,6781,800048400,6781
"2007-10-19",6778.2,6778.3,6703,6723.3,686721400,6723.3
"2007-10-22",6682.4,6683.8,6559.6,6592.1,1904714600,6592.1
"2007-10-23",6588.9,6688.4,6588.9,6677.5,771949400,6677.5
"2007-10-24",6693.9,6747.6,6652,6652.1,937171100,6652.1
"2007-10-25",6646.3,6688.6,6631.7,6644.8,1074673000,6644.8
"2007-10-26",6658.4,6717.9,6655.9,6716.4,1157860300,6716.4
"2007-10-29",6739.9,6808.2,6739.9,6808.2,932711000,6808.2
"2007-10-30",6810.8,6810.8,6768.3,6772.5,799718600,6772.5
"2007-10-31",6756.7,6795.6,6734.8,6779.1,988457300,6779.1
"2007-11-01",6799.5,6873.2,6798.7,6853.6,964605300,6853.6
"2007-11-02",6811.1,6811.1,6705.4,6726.7,784896600,6726.7
"2007-11-05",6733.1,6742.9,6600.3,6620.1,711156900,6620.1
"2007-11-06",6618.5,6685.8,6618.2,6659.1,495319700,6659.1
"2007-11-07",6666.1,6732.6,6666.1,6728.1,803322400,6728.1
"2007-11-08",6680.5,6680.5,6537,6568.5,968832700,6568.5
"2007-11-09",6569.6,6663.9,6569.6,6607.4,845314400,6607.4
"2007-11-12",6593.9,6624.2,6512.4,6523.3,852163900,6523.3
